time,wave_type,num_zero_crossings,mean_wave_height,max_wave_height,max_wave_period,max_crest_period,mean_wave_period,mean_wave_direction,mean_wave_spread,peak_wave_period,peak_wave_direction,peak_wave_spread,significant_wave_height,wave_energy_period,qc_wave_type,qc_num_zero_crossings,qc_mean_wave_height,qc_max_wave_height,qc_max_wave_period,qc_max_crest_period,qc_mean_wave_period,qc_mean_wave_direction,qc_mean_wave_spread,qc_peak_wave_period,qc_peak_wave_direction,qc_peak_wave_spread,qc_significant_wave_height,qc_wave_energy_period
2020-12-01 11:40:00,0.0,133.0,2.289,5.968999999999999,,,8.1,295.399,23.299,16.7,,,3.94,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 12:00:00,0.0,150.0,2.109,6.05,,,7.199,296.6,27.2,16.7,,,3.619,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 12:20:00,0.0,156.0,1.86,5.61,,,6.9,295.7,29.799,16.7,,,3.279,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 12:40:00,0.0,156.0,1.879,4.579,,,6.8,296.2990000000001,31.0,16.7,,,3.319,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 13:00:00,0.0,151.0,2.009,5.0,,,7.099,295.2,27.1,16.7,,,3.569,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 13:20:00,0.0,155.0,1.929,4.84,,,6.9,298.0,28.299,16.7,,,3.269,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 13:40:00,0.0,163.0,1.779,4.539,,,6.5,298.0,29.399,15.399,,,3.19,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 14:00:00,0.0,150.0,2.019,5.409,,,7.099,295.7,32.4,16.7,,,3.48,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 14:20:00,0.0,157.0,1.929,4.76,,,6.8,298.1,27.5,16.7,,,3.329,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 14:40:00,0.0,155.0,1.919,4.678999999999999,,,6.9,296.0,30.0,16.7,,,3.319,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 15:00:00,0.0,160.0,1.7990000000000002,4.678999999999999,,,6.599,295.7,32.599000000000004,16.7,,,3.099,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 15:20:00,0.0,150.0,2.0,5.94,,,7.199,297.899,28.5,16.7,,,3.269,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 15:40:00,0.0,164.0,1.73,3.91,,,6.5,299.0,33.799,14.3,,,2.97,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 16:00:00,0.0,151.0,1.879,4.86,,,7.099,298.5,29.299,15.399,,,3.25,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 16:20:00,0.0,140.0,1.94,4.489,,,7.699,300.6,29.7,15.399,,,3.289,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 16:40:00,0.0,139.0,1.919,4.96,,,7.699,296.1,29.799,14.3,,,3.22,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 17:00:00,0.0,147.0,1.7990000000000002,5.138999999999999,,,7.3,296.2,27.6,16.7,,,3.19,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 17:20:00,0.0,140.0,1.879,4.78,,,7.699,294.2990000000001,30.2,15.399,,,3.109,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 17:40:00,0.0,139.0,1.779,4.699,,,7.699,297.899,27.2,15.399,,,3.029,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 18:00:00,0.0,162.0,1.659,5.75,,,6.599,294.1,29.6,14.3,,,2.95,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 18:20:00,0.0,147.0,1.769,4.98,,,7.3,292.5,30.0,15.399,,,3.16,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 18:40:00,0.0,148.0,1.69,3.4,,,7.199,294.7,26.7,15.399,,,2.94,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 19:00:00,0.0,135.0,1.889,5.0,,,7.9,292.6,27.0,15.399,,,3.19,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 19:20:00,0.0,145.0,1.73,4.75,,,7.4,294.2990000000001,30.1,15.399,,,3.089,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 19:40:00,0.0,139.0,1.659,4.239,,,7.699,292.7990000000001,29.5,14.3,,,2.9,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 20:00:00,0.0,127.0,1.87,4.539,,,8.399,295.0,27.1,15.399,,,3.21,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 20:20:00,0.0,130.0,1.769,4.309,,,8.3,292.5,25.399,15.399,,,3.079,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 20:40:00,0.0,151.0,1.49,4.25,,,7.099,291.899,31.2,15.399,,,2.74,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 21:00:00,0.0,150.0,1.539,3.49,,,7.199,290.1,33.7,15.399,,,2.7,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 21:20:00,0.0,151.0,1.539,4.989,,,7.099,290.899,30.299,14.3,,,2.92,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 21:40:00,0.0,132.0,1.659,3.91,,,8.1,290.0,31.1,14.3,,,2.859,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 22:00:00,0.0,133.0,1.6,4.428999999999999,,,8.0,293.2990000000001,30.399,13.3,,,2.809,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 22:20:00,0.0,130.0,1.629,4.159,,,8.199,289.7,29.799,15.399,,,2.75,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 22:40:00,0.0,134.0,1.679,4.26,,,7.9,289.899,25.899,14.3,,,3.009,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 23:00:00,0.0,125.0,1.7,4.199,,,8.6,289.0,28.7,14.3,,,2.839,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 23:20:00,0.0,127.0,1.769,4.23,,,8.5,288.399,25.899,14.3,,,2.96,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
2020-12-01 23:40:00,0.0,123.0,1.789,4.26,,,8.6,287.7990000000001,24.899,14.3,,,3.13,,0,0,0,0,1,1,0,0,0,0,1,1,0,1
